Median hours per {0},Mediana de horas por {0},"Reports, the issue report, a chart, {0} is day, week or month"
Median resolution,Mediana de resolución,"Reports, the issue report and its printed page"
Median resolution (h),Mediana de resolución (h),"Reports, the issue report, a chart's tooltip"
Median resolution by site,Mediana de resolución por sitio,"Reports, the issue report, a chart"
Medium,Media,"Reports, a severity, which agrees with severidad; Reports, the issue report's filter and printed page; Reports, the issue report, a chart's legend"
Messages,Mensajes,"The shell; Messages; Settings, Roles and Permissions, the role reference"
"Min order, availability notes...","Pedido mínimo, notas de disponibilidad...","Vendors, linking a supply"
Min: {0},Mín.: {0},"Sites, Supplies"
Missing IDs load failed: {0},No se pudieron cargar los ID faltantes: {0},"Forms, Sync Diagnostic, a toast"
Missing:,Faltantes:,"Forms, Sync Diagnostic, a form's missing submissions"
Mon,Lun,Schedule; Shift Pickup
Monday,Lunes,"Settings, the Company tab, the day a pay period starts"
Month,Mes,Schedule
Monthly,Mensual,"Sites, editing a site, Billing; Reports, a trend's bucket"
Monthly Totals,Totales del mes,Shift Pickup
Monthly Value,Valor mensual,"Sites, General Info"
Monthly Value ($),Valor mensual ($),"Sites, editing a site"
Most Recent Activity,Actividad más reciente,"HR Records, Employees, the order"
Most recent inspection per site,Inspección más reciente por sitio,Dashboard
Mountain Time (Denver),Hora de la Montaña (Denver),"Settings, the Company tab, a time zone"
"Mountain Time, no daylight saving (Phoenix)","Hora de la Montaña, sin horario de verano (Phoenix)","Settings, the Company tab, a time zone"
N/A,N/D,"Sites, a site's profile; Sites, a record's printed page; Staff Management, a record's printed page; Staff Management, a record's window"
Name,Nombre,"Sites, General Info; Inventory, editing a supply; Reports, adding or editing a report; Staff Management, the printed profile report; Staff Management, the list"
Name *,Nombre *,"Sites, adding a site; Inventory, adding a supply"
Name and address required,El nombre y la dirección son obligatorios,"Sites, adding a site"
Name and category are required,El nombre y la categoría son obligatorios,"HR Records, adding an onboarding step"
Name required,El nombre es obligatorio,"Inspections, adding a template; Staff Management, Add Certification"
"Name, category, and unit required","El nombre, la categoría y la unidad son obligatorios","Inventory, adding a supply"
"Name, phone, and email required","El nombre, el teléfono y el correo son obligatorios","Staff Management, Add New Staff, when one is missing"
Names already used,Nombres ya usados,"HR Records, logging training for several people, the training names offered as a name is typed"
Needs response,Necesitan respuesta,"Cases, the list, a tab"
New Gear Request,Solicitud de equipo nuevo,"Inventory, Requests, a request's type"
New Inspection Template,Nueva plantilla de inspección,"Inspections, adding a template"
New PIN (4 digits),PIN nuevo (4 dígitos),"Staff Management, Reset PIN"
New Shift,Turno nuevo,Shift Pickup
New Shifts,Turnos nuevos,Shift Pickup
New Supply Request,Solicitud de suministro nuevo,"Inventory, Requests, a request's type"
New Template,Nueva plantilla,"Inspections, Templates"
New report,Nuevo informe,"Reports, the library; Reports, adding a report"
Next,Siguiente,"The shell, under a table"
Next >,Siguiente >,Schedule
Next Week,La próxima semana,Schedule
No,No,"Reports, the supply report's printed page, whether a supply is green certified; Cases, the list; Cases, a case's window; Forms, a filed report, a box left empty; Forms, Sync Diagnostic, the failures"
No HR records on file for this employee yet.,Todavía no hay expedientes de personal para esta persona.,"HR Records, a folder"
"No PDF access events recorded yet. Events appear here as soon as anyone views, downloads, or prints a submission PDF.","Todavía no hay accesos a PDF registrados. Aparecerán aquí en cuanto alguien vea, descargue o imprima el PDF de un envío.","Forms, PDF Access Log, with no events"
No Show,No se presentó,Schedule
No activity found for this filter.,No se encontró actividad con este filtro.,"Staff Management, the Timeline tab"
No activity recorded for this site,No hay actividad registrada para este sitio,"Sites, Timeline"
No aliases recorded yet.,Todavía no hay alias registrados.,"Forms, Aliases"
No approved vendors to export,No hay proveedores aprobados para exportar,"Vendors, Export AVL"
No assigned tasks found.,No se encontraron tareas asignadas.,"Assigned Tasks, when the list is empty"
No buildings configured,No hay edificios configurados,Schedule
No buildings defined for this site yet.,Este sitio todavía no tiene edificios.,"Settings, Site Lookups"
No cases.,No hay casos.,"Cases, the list"
No certifications on file,No hay certificaciones archivadas,"Staff Management, the Certifications tab"
No checklist initialized,No se ha iniciado la lista,"HR Records, Onboarding"
No completed inspections in the selected date range. Complete some inspections to see analytics here.,No hay inspecciones completadas en el rango de fechas elegido. Complete algunas inspecciones para ver aquí los análisis.,"Inspections, Reports"
No completed inspections in this range yet.,Todavía no hay inspecciones completadas en este rango.,"Reports, the inspection report and its score trend; Reports, the inspection report, an empty chart"
No completed inspections yet.,Todavía no hay inspecciones completadas.,"Inspections, Completed"
No conversations.,No hay conversaciones.,"Messages, when nobody has written"
No data to export,No hay datos para exportar,"Sites, Timeline; Inspections, Reports; Reports, exporting a report's PDF; Staff Management, the Timeline tab"
No data to print,No hay datos para imprimir,"Sites, Timeline; Staff Management, the Timeline tab"
No data yet.,Todavía no hay datos.,"Reports, Quick snapshots"
No description,Sin descripción,"Settings, Dropdown Options"
No documents found. Use Add Document to upload.,No se encontraron documentos. Use Agregar documento para subir uno.,"HR Records, Documents"
No documents match this search.,Ningún documento coincide con la búsqueda.,"HR Records, Documents"
No documents on file,No hay documentos archivados,"Staff Management, the HR Files tab"
No employees match your filters.,Ninguna persona coincide con los filtros.,"HR Records, Employees"
No enabled forms to diagnose.,No hay formularios habilitados para diagnosticar.,"Forms, Sync Diagnostic"
No end,Sin fin,"Schedule, a pattern"
No end date,Sin fecha de fin,Schedule
No entries yet.,Todavía no hay entradas.,"Cases, a case's window, the access log"
No evaluations on file,No hay evaluaciones registradas,"Vendors, a vendor"
No file,Sin archivo,"HR Records, Documents and Other; Staff Management, the HR Files tab"
No floors defined for this site yet.,Este sitio todavía no tiene pisos.,"Settings, Site Lookups"
"No forms found. Click ""Sync Forms from Jotform"" to pull your account's forms.","No se encontraron formularios. Presione ""Sincronizar formularios desde Jotform"" para traer los de su cuenta.","Forms, Form Library, with no forms"
No inspections match these filters.,Ninguna inspección coincide con estos filtros.,"Inspections, Scheduled"
No inspections match this search.,Ninguna inspección coincide con la búsqueda.,"Inspections, Completed"
No inspections recorded yet.,Todavía no hay inspecciones registradas.,Dashboard
No issue activity in this range yet.,Todavía no hay actividad de incidencias en este rango.,"Reports, the issue report"
No items filed under Other. Use Add Other to upload.,No hay nada archivado en Otros. Use Agregar otro para subir algo.,"HR Records, Other"
No items in this category.,No hay elementos en esta categoría.,"HR Records, a folder"
No items match this search.,Ningún elemento coincide con la búsqueda.,"HR Records, Other"
No items yet. Add your first line item below.,Todavía no hay elementos. Agregue el primero abajo.,"Inspections, a template"
No logo,Sin logotipo,"Settings, the Company tab"
No match: {0},Sin coincidencias: {0},"Forms, Submissions, the toast after auto-link"
No matching pages,Ninguna página coincide,The shell
No messages in this site channel,No hay mensajes en el canal de este sitio,"Sites, Chat"
No messages to print,No hay mensajes para imprimir,"Sites, Chat"
No messages yet,Todavía no hay mensajes,"Messages, a conversation with nothing in it, in the list"
No messages yet.,Todavía no hay mensajes.,"Messages, a conversation with nothing in it"
No missing submissions. This form is in sync.,No faltan envíos. Este formulario está sincronizado.,"Forms, Sync Diagnostic, a form's missing submissions"
No note,Sin nota,"Schedule, a time off request"
No patterns yet. Turn on Repeat when adding a shift to create one.,Todavía no hay patrones. Active Repetir al agregar un turno para crear uno.,"Schedule, Patterns"
No pending inspections.,No hay inspecciones pendientes.,"Inspections, Scheduled"
No photo attached for this item.,Este elemento no tiene una foto adjunta.,"Inspections, an inspection, a line item"
No pickup activity found in this period.,No hay actividad de turnos disponibles en este periodo.,Shift Pickup
No reason given,Sin motivo,"Schedule, a time off request"
No records match this search.,Ningún registro coincide con la búsqueda.,"HR Records, Training"
No reports filed yet.,Todavía no se ha presentado ningún informe.,"Forms, Filed forms"
No role,Sin rol,"HR Records, a person with no role; Staff Management, the Assignments tab"
No saved reports yet. Use New report to create one.,Todavía no hay informes guardados. Use Nuevo informe para crear uno.,"Reports, an empty library"
No scope of work documented yet.,Todavía no se ha documentado el alcance del trabajo.,"Sites, Scope of Work"
No services to export,No hay servicios para exportar,"Service Catalog, Export"
No services yet.,Todavía no hay servicios.,"Service Catalog, an empty list"
No shift,Sin turno,"Staff Management, the Assignments tab"
No shift started on {0} ({1}),Sin turno iniciado el {0} ({1}),"Live Operations, the people who did not start on a day that is not today, and how many"
No shift started today ({0}),Sin turno iniciado hoy ({0}),"Live Operations, the people who have not started, and how many"
No shifts found for this period and filter.,No hay turnos en este periodo con este filtro.,Shift Pickup
No shifts on these days.,No hay turnos en estos días.,"Schedule, a time off request"
No shifts started on {0}.,Ningún turno iniciado el {0}.,"Live Operations, a day that is not today with nobody started"
No shifts started yet today.,Todavía no ha iniciado ningún turno hoy.,Dashboard; Live Operations
